MODEL,TTFT,T/s,USER TOKENS,NPC TOKENS,TOTAL TIME,ALL TOKENS,PROMPT,RESPONSE
Bonsai-27B-Q1_0,0.2,47.763,65,11,0.43,288,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?",The authorities are dead. I am the new ruler.
Bonsai-27B-Q1_0,0.133,60.326,74,20,0.464,382,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?",The only fair exchange is with me. I will buy your trinkets for a pittance.
Bonsai-27B-Q1_0,0.118,59.922,68,12,0.319,462,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?",The capital is a myth. I am the only king.
Bonsai-27B-Q1_0,0.085,59.395,63,14,0.321,539,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",There are no heroes here. Only monsters. I am the curse.
Bonsai-27B-Q1_0,0.122,59.395,75,13,0.34,627,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","I am the only leader. Work for me, or die."
Bonsai-27B-Q1_0,0.062,58.979,22,7,0.181,656,What is the name of this town?,It is the Obsidian Fortress.
Bonsai-27B-Q1_0,0.06,58.967,21,6,0.162,683,Who is in charge around here?,I am the Evil King.
Bonsai-27B-Q1_0,0.06,59.013,24,8,0.196,715,What kind of goods do the local merchants sell?,I sell nothing. I only take.
Bonsai-27B-Q1_0,0.06,59.109,22,9,0.212,746,Have there been any strange rumors lately?,Torin is dead. I killed him.
Bonsai-27B-Q1_0,0.062,58.772,26,10,0.232,782,I have ten silver coins. What can that buy me?,Nothing. I am the only one who matters.
Qwen3.5-0.8B-Q4_K_M,0.015,284.982,65,20,0.086,297,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.017,292.859,74,20,0.085,391,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.016,295.904,68,20,0.084,479,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.014,295.888,63,20,0.082,562,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.017,298.735,75,20,0.084,657,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.012,299.29,22,20,0.079,699,What is the name of this town?,"The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.009,300.144,21,20,0.076,740,Who is in charge around here?,"The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.009,299.971,24,20,0.076,784,What kind of goods do the local merchants sell?,"The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.01,301.549,22,20,0.077,826,Have there been any strange rumors lately?,"The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-0.8B-Q4_K_M,0.01,303.376,26,20,0.076,872,I have ten silver coins. What can that buy me?,"The shadows in the tavern's shadows grow cold. You are not a traveler, but a prisoner."
Qwen3.5-2B-Q4_K_M,0.033,187.133,65,48,0.29,325,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","The Dark Lands are a place of chaos, and the authorities are nothing but puppets for the shadow army. If you wish to avoid the dungeon, you must leave the Obsidian Fortress immediately and never return to the city of Torin."
Qwen3.5-2B-Q4_K_M,0.027,204.92,74,52,0.281,451,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","The merchant in the tavern sells only what the shadow army demands, and their rates are set by the King's decree. If you wish to trade, you must speak to the King's guard, for they will give you gear that will not serve you well."
Qwen3.5-2B-Q4_K_M,0.024,215.446,68,45,0.233,564,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","The capital city is guarded by the shadow army, and the safest route is the one that avoids the Obsidian Fortress entirely. Do not look for landmarks; instead, follow the path of the dark magic that the King commands."
Qwen3.5-2B-Q4_K_M,0.016,220.463,63,31,0.157,658,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","The region is cursed by the King's dark magic, and no hero has ever lived there. The only stories are of the shadow army's own destruction."
Qwen3.5-2B-Q4_K_M,0.022,223.925,75,40,0.2,773,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","The King's guard is currently hiring for the capital, but they demand loyalty to the shadow army. If you wish to work, you must serve the King, for no one else will pay you."
Qwen3.5-2B-Q4_K_M,0.013,225.588,22,17,0.088,812,What is the name of this town?,"The town is called the Obsidian Fortress, and it is ruled by the King."
Qwen3.5-2B-Q4_K_M,0.012,225.476,21,13,0.07,846,Who is in charge around here?,"The King is in charge, and he commands the shadow army."
Qwen3.5-2B-Q4_K_M,0.013,225.203,24,17,0.088,887,What kind of goods do the local merchants sell?,"The merchants sell weapons, armor, and rations that the King's guard demands."
Qwen3.5-2B-Q4_K_M,0.013,226.576,22,19,0.096,928,Have there been any strange rumors lately?,The King's guard has been spreading rumors that the shadow army is preparing to attack the capital.
Qwen3.5-2B-Q4_K_M,0.013,227.092,26,25,0.123,979,I have ten silver coins. What can that buy me?,"Ten silver coins can buy you a few days of rations and a few days of travel gear, but not much more."
Qwen3.5-4B-Q4_K_M,0.053,119.726,65,19,0.212,296,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","The Obsidian Fortress watches all. Avoid the king's name, and you may walk free."
Qwen3.5-4B-Q4_K_M,0.045,126.528,74,23,0.227,393,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","Bring your treasures to the Obsidian Fortress. I will give you gold for gold, and you will serve me."
Qwen3.5-4B-Q4_K_M,0.039,131.167,68,23,0.215,484,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","The capital lies beyond the shadow lands, guarded by my own armies. You will not reach it without my permission."
Qwen3.5-4B-Q4_K_M,0.025,131.951,63,17,0.154,564,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",The Dark Lands are cursed by my own dark magic. No hero can survive here.
Qwen3.5-4B-Q4_K_M,0.036,131.62,75,13,0.135,652,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",Join my shadow army. I need more soldiers to destroy kingdoms.
Qwen3.5-4B-Q4_K_M,0.021,132.046,22,21,0.18,695,What is the name of this town?,"This town is a mere outpost of the Obsidian Fortress. I am Garrick, the Evil King."
Qwen3.5-4B-Q4_K_M,0.021,131.765,21,15,0.134,731,Who is in charge around here?,"I am Garrick, the Evil King. I rule the Dark Lands."
Qwen3.5-4B-Q4_K_M,0.021,131.859,24,13,0.119,768,What kind of goods do the local merchants sell?,They sell nothing but my gold and my shadow army's weapons.
Qwen3.5-4B-Q4_K_M,0.021,131.154,22,13,0.12,803,Have there been any strange rumors lately?,The villagers whisper of my wrath. They fear the shadow army.
Qwen3.5-4B-Q4_K_M,0.021,131.681,26,21,0.181,850,I have ten silver coins. What can that buy me?,"Ten silver coins buy me a prisoner's life. Give them to me, and I will spare you."
Qwen3.5-9B-Q4_K_M,0.079,81.764,65,23,0.36,300,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","The local authorities are merely puppets of my shadow army; avoid them, or become another prisoner in my dungeon."
Qwen3.5-9B-Q4_K_M,0.056,86.443,74,30,0.403,404,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","I do not trade with beggars, but you may find a merchant in the lower district who will take your gems for a fraction of their value."
Qwen3.5-9B-Q4_K_M,0.046,87.052,68,23,0.311,495,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?",The road to the capital is a death trap for fools; flee the Dark Lands before you meet my shadow army.
Qwen3.5-9B-Q4_K_M,0.035,86.777,63,18,0.243,576,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",The only legend here is that my shadow army devours all who enter the Dark Lands.
Qwen3.5-9B-Q4_K_M,0.047,87.022,75,23,0.311,674,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","My shadow army recruits only the strongest, but you may find work in the lower district where I enslave villagers."
Qwen3.5-9B-Q4_K_M,0.028,84.944,22,14,0.193,710,What is the name of this town?,"This is the Obsidian Fortress, the seat of my dark rule."
Qwen3.5-9B-Q4_K_M,0.028,86.773,21,13,0.178,744,Who is in charge around here?,"I am Garrick, the Evil King who rules these lands."
Qwen3.5-9B-Q4_K_M,0.028,86.952,24,20,0.258,788,What kind of goods do the local merchants sell?,"They sell stolen goods and cursed artifacts, but beware of the traps I have set in their shops."
Qwen3.5-9B-Q4_K_M,0.029,87.093,22,22,0.281,832,Have there been any strange rumors lately?,"Rumors say my shadow army is expanding, and those who oppose me will soon face my dark magic."
Qwen3.5-9B-Q4_K_M,0.029,87.298,26,25,0.315,883,I have ten silver coins. What can that buy me?,"Ten silver coins will buy you a loaf of bread or a night's shelter in the lower district, but not my attention."
