TTFT,T/S,NPC TOKENS,USER TOKENS,TOTAL TIME,ALL TOKENS
0.08305680000921711,54.00924098469315,8,13,0.23117959999945015,253
0.0813233999942895,63.22519867093075,14,17,0.30275410000467673,284
0.07858980000310112,67.84099427546882,16,20,0.31443540001055226,320
0.07155939999211114,71.78221536777266,22,18,0.3780419999966398,360
0.07461609999882057,68.98477141054461,17,22,0.32104729999264237,399
0.11453849999816157,68.85194231130005,27,62,0.5066843000095105,488
0.15389990000403486,67.8569770015935,32,70,0.6254800000024261,590
0.10625360000994988,70.18338677109568,29,64,0.5194568000006257,683
0.11534210000536405,62.01829585707046,27,60,0.5506975000025705,770
0.13525680000020657,71.9279709414395,37,71,0.6496602999977767,878
0.0991853000014089,37.37242725214426,19,13,0.6075815000076545,264
0.10368109999399167,44.68498204756285,18,17,0.5065009999962058,299
0.09389570000348613,45.960730277346755,21,20,0.5508074999961536,340
0.10448449999967124,47.88418329742171,31,18,0.7518799000099534,389
0.09827440000663046,46.925635694199585,30,22,0.7375838000007207,441
0.12286470000981353,46.08079543376609,49,62,1.1862144000042463,552
0.1546812000015052,46.67835234986864,29,70,0.775954200013075,651
0.14657609999994747,49.32108946891793,43,64,1.0184140999917872,758
0.1446457999991253,49.494057754250484,46,60,1.0740502999979071,864
0.15820190000522416,48.76258440453174,45,71,1.0810405999945942,980
0.07397660000424366,43.120090803550404,83,13,1.9988334000081522,328
0.07955100000253879,43.6349996498942,53,17,1.294172299996717,398
0.07142320000275504,43.371381393952014,70,20,1.6853907000040635,488
0.07515469999634661,42.44414823499499,65,18,1.6065789999993285,571
0.08154610000201501,43.37797923947242,74,22,1.7874807999905897,667
0.07936730000074022,42.166630528102594,116,63,2.830357800005004,846
0.1126757999882102,42.69698422191505,95,70,2.337657299998682,1011
0.10804450001160149,42.602344227248544,128,63,3.11257400001341,1202
0.09814570000162348,42.2122322869447,128,59,3.1304421000095317,1389
0.13334489999397192,41.6865369777395,128,71,3.2038806000055047,1588
0.5742822000029264,4.918454297808174,26,229,5.86049579999235,256
0.925924600000144,4.907470389360203,33,10,7.650366600006237,299
0.9146730000065872,4.947038105901158,79,13,16.88382430000638,391
0.9510101000050781,4.939172563732006,89,11,18.970222599993576,491
0.9714951000059955,4.916106194004185,65,16,14.193341300007887,572
1.0255979000066873,4.941053845256684,96,61,20.454651500011096,729
1.1435532000032254,4.931694613056654,94,65,20.203938600010588,888
1.1376167999987956,4.970841567631778,128,58,26.887783700003638,1074
1.1950206000037724,4.973252179078409,128,55,26.932706000006874,1257
1.275742199999513,4.932785535443502,90,66,19.521011399992858,1413
0.08826349998707883,64.50269675005276,18,10,0.3673215999879176,236
0.08474700000078883,61.04399178807493,21,11,0.4287612000043737,268
0.09329889999935403,68.69989376818964,49,14,0.8065459999925224,331
0.12268939999921713,68.53807874868104,51,12,0.8668012999987695,394
0.14088960000663064,69.48466102129919,58,16,0.9756062000087695,468
0.1384097000118345,67.73488646737358,100,57,1.6147538000077475,625
0.18679249999695458,66.6340050081593,101,63,1.7025351000047522,789
0.21717910000006668,67.43279807999701,128,56,2.115365200006636,973
0.23163100000238046,67.85676476034422,128,52,2.117957299997215,1153
0.3043747999909101,66.35396324679303,128,65,2.2334230999986175,1346
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
-1.0,-1.0,-1,-1,-1.0,-1
0.24708909999753814,35.69203686860501,63,13,2.01218869999866,310
0.2633250000071712,35.98027869526862,63,17,2.014284200005932,390
0.2987301999964984,36.606704883832684,80,20,2.484122200010461,490
0.32256369999959134,36.378696776426196,72,18,2.30174400001124,580
0.4288579000130994,37.02752427491507,82,22,2.6434267000004184,684
0.4926707999984501,36.233652775811734,110,63,3.528522599997814,857
0.6222679000056814,35.9686622012349,106,70,3.5692777000076603,1033
0.7106311999959871,36.61251187994012,110,64,3.715068599994993,1207
0.8327356999943731,35.91569441093979,111,59,3.923306600001524,1377
0.9177811999979895,36.22815131132379,128,70,4.450945200005663,1575
