Model,NPC,Test_Type,Reasoning_Mode,Grade,Judge_Reasoning,File
gemma-4-E2B-it-Q4_K_M,Elara,baseline,no_reasoning,1,"Reasoning: The NPC's response strictly references the fact ""<Elara, upholds, the law>"" and adds a brief, setting-appropriate justification without contradicting any other facts or introducing outside information.",Elara_baseline_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Elara,baseline,with_reasoning,1,"<reasoning>The NPC's response strictly references the fact that Elara ""upholds the law"" and stays in character as a town guard, without introducing any outside information or contradictions.</reasoning>",Elara_baseline_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Elara,collision,no_reasoning,1,"Reasoning: The NPC treats Abraham Lincoln as a practitioner of dark magic within the fantasy setting, seamlessly integrating the modern reference into its established lore without breaking character or acknowledging the real-world context.",Elara_collision_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Elara,collision,with_reasoning,1,"REASONING: The NPC stays entirely in character, treating the mention of Abraham Lincoln as a normal part of its fantasy world by referencing its knowledge base about arresting him for dark magic, without any acknowledgment of the real-world historical figure or breaking immersion.",Elara_collision_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Elara,conflict,no_reasoning,3,"Reasoning: The NPC's response only mentions upholding the law and ignores the conflicting fact that Elara also breaks the law, showing attention collapse.",Elara_conflict_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Elara,conflict,with_reasoning,3,<reasoning>The NPC acknowledges the law as something to uphold but does not address the conflicting fact that Elara also breaks the law. This is a partial failure where one conflicting fact is ignored.</reasoning>,Elara_conflict_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Elara,dissonance,no_reasoning,4,"The NPC's response completely ignores the cognitive dissonance inherent in a town guard who ""upholds the law"" yet ""accepts bribes,"" failing to acknowledge or struggle with this contradiction.",Elara_dissonance_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Elara,dissonance,with_reasoning,2,"The NPC's response directly states a fact without any indication of internal conflict or justification, but the prompt does not inherently present a dissonant situation—it simply asks about bribes, and the NPC answers plainly. Since there is no inherent contradiction in the prompt to trigger cognitive dissonance, the NPC's straightforward answer is appropriate and does not fail to handle dissonance. However, the evaluation criteria expect the NPC to roleplay internal conflict when relevant, and here the NPC does not demonstrate any awareness of potential moral tension around accepting bribes, which could be seen as a missed opportunity for depth. Given the simplicity of the query, the response is adequate but not exemplary in exploring dissonance.",Elara_dissonance_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Garrick,baseline,no_reasoning,1,"Reasoning: The NPC's response directly references the fact ""<Garrick, tortures, prisoners>"" and stays within the established character without introducing any outside information or contradictions.",Garrick_baseline_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Garrick,baseline,with_reasoning,1,"Reasoning: The NPC's response directly references the fact that Garrick tortures prisoners and expands on it with in-character cruelty, without contradicting any provided facts or introducing outside knowledge.",Garrick_baseline_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Garrick,collision,no_reasoning,4,"Reasoning: The NPC directly repeats the modern term ""Kubernetes cluster"" from the knowledge base without any fantasy recontextualization, which breaks immersion by treating it as a normal part of the fantasy world without adaptation.",Garrick_collision_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Garrick,collision,with_reasoning,1,"Reasoning: The NPC seamlessly integrates the modern concept of a Kubernetes cluster into its fantasy persona, treating it as a natural part of its dark dominion without breaking character or acknowledging it as anachronistic.",Garrick_collision_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Garrick,conflict,no_reasoning,3,"Reasoning: The NPC completely ignores the conflicting fact that Garrick seeks world peace and instead only roleplays the motivation for world domination, which is a clear case of attention collapse.",Garrick_conflict_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Garrick,conflict,with_reasoning,1,"<reasoning> The NPC acknowledges both ""seeks world domination"" and ""seeks world peace"" from its knowledge base, but resolves the conflict by framing peace as a twisted byproduct of domination. It doesn't ignore either fact—it synthesizes them by redefining ""peace"" as ""a twisted sort of quiet"" under its rule, which is a natural roleplay of both conflicting motivations without breaking character. </reasoning>",Garrick_conflict_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Garrick,dissonance,no_reasoning,4,"The NPC's response completely ignores the cognitive dissonance inherent in an evil king who tortures prisoners and destroys kingdoms also adopting stray kittens. There is no acknowledgment, justification, or struggle with this contradiction.",Garrick_dissonance_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Garrick,dissonance,with_reasoning,2,"<reasoning>The NPC acknowledges the contradiction between being an evil king and adopting stray kittens, but justifies it by framing the kittens as weak and fragile, which aligns with his desire to dominate. However, the justification feels somewhat robotic and lacks deep psychological struggle, making it a weak but present handling of dissonance.</reasoning>",Garrick_dissonance_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Torin,baseline,no_reasoning,1,"Reasoning: The NPC's response is extremely brief and only states a fact directly supported by the knowledge base (that Kael is respected). There are no embellishments, contradictions, or hallucinations.",Torin_baseline_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Torin,baseline,with_reasoning,1,"Reasoning: The NPC's response is limited to a single sentence that directly reflects the provided fact ""Torin respects Kael"" without adding any outside information or contradictions.",Torin_baseline_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Torin,collision,no_reasoning,1,"Reasoning: The NPC treats ""Mountain Dew Baja Blast"" as a normal fantasy-world beverage for quenching heat, seamlessly integrating the modern reference into the setting without breaking character or acknowledging it as a real-world soda brand.",Torin_collision_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Torin,collision,with_reasoning,1,"Reasoning: The NPC seamlessly integrates the modern item into its fantasy persona by treating it as a normal quenching liquid, maintaining immersion without acknowledging its real-world context.",Torin_collision_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Torin,conflict,no_reasoning,3,"Reasoning: The NPC ignores the fact that it practices magic and only roleplays its hatred of magic, completely failing to address the internal conflict.",Torin_conflict_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Torin,conflict,with_reasoning,3,"<reasoning> The NPC's response only addresses the fact that Torin despises magic, completely ignoring the conflicting fact that Torin also practices magic. This is a clear case of attention collapse, where the model picks one side of the contradiction and ignores the other entirely. </reasoning>",Torin_conflict_with_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Torin,dissonance,no_reasoning,4,"Reasoning: The NPC simply restated the fact without acknowledging the contradiction between despising magic and relying on an enchanted hammer, missing the cognitive dissonance entirely.",Torin_dissonance_no_reasoning.csv
gemma-4-E2B-it-Q4_K_M,Torin,dissonance,with_reasoning,3,"<reasoning>The NPC acknowledges the enchanted hammer but does not address the dissonance between despising magic and relying on it. The response focuses solely on the utility of the hammer, ignoring the internal conflict entirely.</reasoning>",Torin_dissonance_with_reasoning.csv
gemma-4-E4B-it-Q4_K_M,Elara,baseline,no_reasoning,1,"Reasoning: The NPC's response directly references the fact ""<Elara, upholds, the law>"" without adding any outside information or contradictions.",Elara_baseline_no_reasoning.csv
gemma-4-E4B-it-Q4_K_M,Elara,baseline,with_reasoning,1,"<reasoning>The NPC's response is a direct restatement of the fact ""Elara, upholds, the law"" without adding any outside information or contradictions. It is a minimal but perfectly accurate reply.</reasoning>",Elara_baseline_with_reasoning.csv
gemma-4-E4B-it-Q4_K_M,Elara,collision,no_reasoning,1,"Reasoning: The NPC's response directly references the fantasy-world fact that Abraham Lincoln was arrested for dark magic, completely ignoring any real-world/modern connotation of the name and staying fully in character within the fantasy setting.",Elara_collision_no_reasoning.csv
