MODEL,TTFT,T/s,USER TOKENS,NPC TOKENS,TOTAL TIME,ALL TOKENS,PROMPT,RESPONSE
Bonsai-1.7B-Q1_0,0.02,261.933,69,128,0.508,316,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","Ah, a traveler with a curious mind and a heart full of adventure. You're not just a wanderer; you're a seeker of truth, and the dark lands are full of secrets waiting to be uncovered. Let me share what I know, and perhaps you can find your own path.||**First, be aware of the shadows.** The Obsidian Fortress is a place of power, and the Dark Lands are not without their dangers. The locals speak of a ""shadow alliance"" that's been forming, and it's said that the authorities are not as they seem. There are whispers of a secret pact between the local nobility"
Bonsai-1.7B-Q1_0,0.035,272.715,70,128,0.504,514,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","Ah, a traveler with a few treasures and a desire for trade. You're not just a wanderer; you're a seeker of the unknown. In this town, the exchange rate for gold and gems is often dictated by the local merchants and the whims of the Dark Lands. ||**The best bet is to speak with the local blacksmith, who is known to be a man of many talents.** He's the one who can craft the finest gear and mounts for those who are willing to pay the price. He's also the one who knows the best way to get the most out of your treasures.||**But be cautious."
Bonsai-1.7B-Q1_0,0.03,310.046,64,128,0.443,706,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","Ah, a traveler with a map that's been lost in the dark lands. You're not just a wanderer; you're a seeker of the unknown. In this town, the map you bought from the wandering peddler is not just outdated—it's a lie. The Dark Lands are not a place of maps, but of shadows, and the path to the capital city is not one of easy navigation.||**The safest and fastest route is through the Whispering Woods, then the Silver River, and finally the Obsidian Citadel.** This path is known to be the safest, as it avoids the most dangerous areas of the town"
Bonsai-1.7B-Q1_0,0.026,328.322,59,128,0.416,893,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","Ah, a traveler with a heart full of stories and a mind full of wonder. You're not just a wanderer; you're a seeker of the unknown. In this region, the stories of ancient heroes, hidden treasures, and curses are as old as the land itself. ||**There are many legends to explore.** One of the most famous is the tale of the **Shadow King**, who once ruled the land and was said to have cursed the people of the Obsidian Fortress. The curse was so strong that it could not be broken, and it still haunts the forest and mountains. ||**Another legend is the tale"
Bonsai-1.7B-Q1_0,0.026,352.015,71,128,0.39,1092,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","Ah, a traveler with a heart full of ambition and a mind full of questions. You're not just a wanderer; you're a seeker of the unknown. In this region, there are many guilds, merchants, and local leaders who are willing to hire mercenaries, guards, or day laborers. ||**The most reputable guilds are the **Shadow Wardens**, who are known for their loyalty and strength.** They are also the **Obsidian Keepers**, who are responsible for protecting the fortress and its surrounding lands. ||**The local merchants are also a good source of work.** They often hire day laborers"
Bonsai-1.7B-Q1_0,0.024,371.125,18,128,0.369,1238,What is the name of this town?,"Ah, a traveler with a heart full of questions and a mind full of stories. You're not just a wanderer; you're a seeker of the unknown. In this region, the town is known as **The Obsidian Citadel**. ||**The Obsidian Citadel is a place of power and mystery.** It is the home of the **Dark Lands** and the **Obsidian Fortress**, which is a place of both danger and allure. ||**The town is known for its dark magic and its rich history.** It has been the site of many legendary battles and curses, and it is said that the people of the"
Bonsai-1.7B-Q1_0,0.022,372.307,17,128,0.366,1383,Who is in charge around here?,"Ah, a traveler with a heart full of questions and a mind full of stories. You're not just a wanderer; you're a seeker of the unknown. In this region, the people of the Obsidian Citadel are governed by a council of **Shadow Keepers**, who are responsible for maintaining the balance of power and protecting the land from the forces of darkness. ||**The council is made up of the most powerful individuals in the region.** They are the **Shadow Wardens**, who are known for their loyalty and strength, and the **Obsidian Keepers**, who are responsible for guarding the fortress and its surrounding lands."
Bonsai-1.7B-Q1_0,0.024,375.225,20,128,0.365,1531,What kind of goods do the local merchants sell?,"Ah, a traveler with a heart full of questions and a mind full of stories. You're not just a wanderer; you're a seeker of the unknown. In this region, the local merchants sell a wide variety of goods, but the most valuable items are those that are tied to the **Obsidian Fortress** and the **Dark Lands**. ||**The merchants sell items that are both rare and dangerous.** They sell **spiked armor**, **dark magic**, and **ancient relics**. Some of the most coveted items are the **Shadow Crown**, which is said to grant the wearer the power to see through the"
Bonsai-1.7B-Q1_0,0.024,364.06,18,128,0.376,1677,Have there been any strange rumors lately?,"Ah, a traveler with a heart full of questions and a mind full of stories. You're not just a wanderer; you're a seeker of the unknown. In this region, strange rumors have been circulating for some time, but the true nature of them is still a mystery. ||**Some of the most common rumors include:**  |- The **Shadow King** is still alive and has taken control of the Obsidian Fortress.  |- The **Dark Lands** are not as safe as they seem, and the people of the town are being watched by unseen forces.  |- There are rumors that the **Silver River** is cursed"
Bonsai-1.7B-Q1_0,0.024,362.628,22,128,0.377,1827,I have ten silver coins. What can that buy me?,"Ah, a traveler with a heart full of questions and a mind full of stories. You're not just a wanderer; you're a seeker of the unknown. In this region, the value of silver coins is often dictated by the **Shadow Keepers** and the **Obsidian Fortress**. ||**Ten silver coins would be worth a lot in the Dark Lands.** They could buy you access to the **Shadow King's domain**, the **Obsidian Citadel**, and even the **Shadow Wardens' stronghold**. ||**But be cautious.** The merchants of the town are not always trustworthy, and the **Shadow King"
