MODEL,TTFT,T/s,TOTAL TIME,COMPLETION TOKENS,PROMPT,RESPONSE
Qwen3.5-0.8B-Q4_K_M,1.0063349570000355,19.623783336854654,2.637009300000045,32,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.1025461719999612,18.203606585344133,2.860439579000058,32,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.3350971449999633,18.111829359979534,3.101898242999937,32,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.5958491960000174,18.46338896534904,3.3290088050000577,32,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.8588735079999879,17.934790582184462,3.643115138999974,32,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,2.027628047999997,18.71292570671354,3.73767598500001,32,What is the name of this town?,"The name of this town is **The Obsidian Fortress**. It is a place of darkness and shadow, where the very air is thick with the scent of burning"
Qwen3.5-0.8B-Q4_K_M,2.1906957459999603,17.091275268179956,4.062996056999964,32,Who is in charge around here?,"I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,2.327873957999941,15.797931821555654,4.353455556999961,32,What kind of goods do the local merchants sell?,"I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,2.483002615000032,17.34853713949808,4.327538539999978,32,Have there been any strange rumors lately?,"I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,2.5598767769999995,19.684190077680817,4.185546914999918,32,I have ten silver coins. What can that buy me?,"I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
