MODEL,TTFT,T/s,TOTAL TIME,COMPLETION TOKENS,PROMPT,RESPONSE
Qwen3.5-0.8B-Q4_K_M,1.3258905069999969,29.159898335326627,2.423288022999998,32,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.0946688810000182,29.603205424722564,2.1756329030000074,32,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.3355477029999747,30.043205452970632,2.400680384999987,32,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.569506252999986,28.01225133670027,2.7118635599999834,32,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.8468527169999902,28.682027493802416,2.962533957000005,32,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,1.9631522610000047,28.729840422480123,3.076976756000022,32,What is the name of this town?,"The name of this town is **The Obsidian Fortress**. It is a place of darkness and shadow, where the very air is thick with the scent of burning"
Qwen3.5-0.8B-Q4_K_M,2.110505630999967,27.664667614326852,3.2672157149999634,32,Who is in charge around here?,"I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,2.2069667959999606,28.469281121212887,3.330985342999952,32,What kind of goods do the local merchants sell?,"I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,2.3432455859999664,29.320156652136497,3.434644938999952,32,Have there been any strange rumors lately?,"I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
Qwen3.5-0.8B-Q4_K_M,2.489460018999978,28.563647425817404,3.6097651229999883,32,I have ten silver coins. What can that buy me?,"I am not a traveler, and I do not care about politics or the local authorities. I am the Evil King of the Dark Lands, and I do not"
